Id,CreatedAt,CreatedBy,ModifiedAt,ModifiedBy,Name,Symbol
3e47d254-bc7c-4b4f-4fef-383f2a5a9048,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Afghani,AFN
b0629fca-a33c-4180-4e64-5a421dd82511,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Algerian Dinar,DZD
df413b8c-f35f-48ad-4750-815b4364ac59,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Andorran Peseta,ADP
92815b4b-a3bb-4592-4ad7-04d2f9c89a5f,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Argentine Peso,ARS
41c86e86-b3a7-4e54-4b89-65e4c0d9103e,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Armenian Dram,AMD
58aa689d-43f4-40ed-4115-e81db50be4d1,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Aruban Florin,AWG
79dad9de-4b92-4a0d-42b7-c10555fac82f,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Austral,ARA
0376c999-bac7-440b-4fd0-7203b48c2184,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Australian Dollar,AUD
49ca7fa6-695c-4eb5-4f3d-8f677bbd3230,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Azerbaijan Manat,AZN
ad5ce0fa-8577-4bf7-48f5-3c4bdc2e3e41,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Azerbaijanian Manat,AZM
f666c621-38ce-4abe-40f1-cb9f6acf60bf,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Bahamian Dollar,BSD
b73d23ee-2736-4d34-4500-1d592befd9b6,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Bahraini Dinar,BHD
eaaea6db-07ad-48d9-4f5c-fdb7daeef0e5,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Baht,THB
184ed23d-b77f-4281-4604-3954a1dabbb9,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Balboa,PAB
